History
Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
24.11.2022 15:00:01,25.11.2022 01:00:02,NZDCAD,Sell,0.04,0.00000,0.83362,0.83677,0.83508,16.9,4.87,00:10:00:01,0.48%
23.11.2022 17:00:00,25.11.2022 01:00:01,NZDCAD,Sell,0.02,0.00000,0.83325,0.83261,0.83507,-24.6,-3.91,01:08:00:01,-0.38%
24.11.2022 15:00:01,25.11.2022 01:00:01,NZDCAD,Sell,0.04,0.00000,0.83325,0.83677,0.83509,16.8,4.85,00:10:00:00,0.48%
24.11.2022 15:00:00,25.11.2022 00:05:00,NZDCAD,Sell,0.01,0.00000,0.83454,0.83677,0.83625,5.2,0.34,00:09:05:00,0.03%
22.11.2022 12:30:00,22.11.2022 16:04:40,NZDCAD,Sell,0.05,0.00000,0.82329,0.82433,0.82328,10.5,3.79,00:03:34:40,0.37%
21.11.2022 19:15:00,21.11.2022 22:52:37,AUDCAD,Buy,0.05,0.00000,0.88821,0.88717,0.88821,10.4,3.74,00:03:37:37,0.37%
21.11.2022 13:33:25,21.11.2022 15:05:44,AUDCAD,Buy,0.05,0.00000,0.89010,0.88906,0.89010,10.4,3.74,00:01:32:19,0.37%
18.11.2022 10:00:00,21.11.2022 11:54:23,NZDCAD,Sell,0.02,0.00000,0.81783,0.82204,0.82122,8.2,1.13,03:01:54:23,0.11%
20.11.2022 20:15:55,,,Withdrawal,0,0.00000,0.00000,0.00000,0.00000,0.0,-81.49,00:00:00:00,-
18.11.2022 04:04:10,18.11.2022 16:32:31,NZDCAD,Sell,0.05,0.00000,0.82448,0.81986,0.82446,-46.0,-17.30,00:12:28:21,-1.60%
18.11.2022 12:45:01,18.11.2022 16:32:31,NZDCAD,Sell,0.05,0.00000,0.82448,0.82408,0.82446,-3.8,-1.54,00:03:47:30,-0.14%
18.11.2022 15:30:01,18.11.2022 16:32:31,NZDCAD,Sell,0.10,0.00000,0.82448,0.82755,0.82446,30.9,22.83,00:01:02:30,2.15%
17.11.2022 11:45:01,18.11.2022 04:04:09,AUDCAD,Buy,0.05,0.00000,0.89250,0.89369,0.89250,-11.9,-4.75,00:16:19:08,-0.44%
17.11.2022 15:15:01,18.11.2022 04:04:09,AUDCAD,Buy,0.05,0.00000,0.89250,0.89015,0.89250,23.5,8.55,00:12:49:08,0.80%
17.11.2022 16:00:00,17.11.2022 19:58:35,AUDCAD,Buy,0.02,0.00000,0.89221,0.88910,0.89059,14.9,2.19,00:03:58:35,0.20%
17.11.2022 17:45:00,17.11.2022 19:58:30,AUDCAD,Buy,0.02,0.00000,0.89315,0.88829,0.89061,23.2,3.43,00:02:13:30,0.32%
15.11.2022 09:30:01,17.11.2022 15:04:15,NZDCAD,Sell,0.02,0.00000,0.81256,0.81520,0.81317,20.3,2.79,02:05:34:14,0.26%
